字词	拼音	词频
方式	fang shi	33616
刚	gang	33324
内容	nei rong	33241
那里	na li	33200
一次	yi ci	33200
成	cheng	33117
女人	nv ren	33076
电脑	dian nao	33035
是否	shi fou	33035
换	huan	32585
无	wu	32585
意思	yi si	32504
联系	lian xi	32464
游戏	you xi	32383
老师	lao shi	32262
特别	te bie	32102
只要	zhi yao	32102
个人	ge ren	32022
嗯	n	31982
嗯	en	31982
嗯	ng	31982
哪	na	31902
文件	wen jian	31862
能够	neng gou	31823
有点	you dian	31823
软件	ruan jian	31744
几个	ji ge	31704
回	hui	31665
过去	guo qu	31665
爱	ai	31546
学习	xue xi	31468
社会	she hui	31390
过来	guo lai	31233
听	ting	31156
少	shao	31117
给你	gei ni	31117
男人	nan ren	31039
了解	liao jie	31001
只能	zhi neng	30962
元	yuan	30885
吃饭	chi fan	30885
世界	shi jie	30808
卡	ka	30770
靠	kao	30617
不好	bu hao	30541
不用	bu yong	30503
的话	de hua	30389
表示	biao shi	30351
帮	bang	30125
嘿嘿	hei hei	30087
算	suan	29938
发生	fa sheng	29900
者	zhe	29752
得到	de dao	29752
同学	tong xue	29715
基本	ji ben	29715
处理	chu li	29715
忙	mang	29641
老婆	lao po	29641
照片	zhao pian	29567
客户	ke hu	29530
起	qi	29383
方法	fang fa	29383
完成	wan cheng	29347
各	ge	29019
关于	guan yu	28983
有些	you xie	28983
当时	dang shi	28947
刚才	gang cai	28875
分	fen	28803
学	xue	28803
实现	shi xian	28767
原来	yuan lai	28696
包括	bao kuo	28660
解决	jie jue	28553
总	zong	28517
中的	zhong de	28517
则	ze	28270
一种	yi zhong	28059
反正	fan zheng	27816
根据	gen ju	27677
政府	zheng fu	27677
重要	zhong yao	27643
水	shui	27608
改	gai	27437
成功	cheng gong	27437
咯	lo	27403
唉	ai	27403
考虑	kao lv	27403
下载	xia zai	27334
张	zhang	27300
能力	neng li	27266
过程	guo cheng	27165
分析	fen xi	27030
他的	ta de	27030
机会	ji hui	26962
下午	xia wu	26828
三	san	26761
提高	ti gao	26728
认识	ren shi	26695
注意	zhu yi	26662
介绍	jie shao	26562
连	lian	26463
之前	zhi qian	26463
进入	jin ru	26430
日本	ri ben	26430
存在	cun zai	26430
其中	qi zhong	26299
见	jian	26266
今年	jin nian	26200
增加	zeng jia	26070
放	fang	26038
车	che	26005
记者	ji zhe	26005
出去	chu qu	25973
无法	wu fa	25973
万	wan	25941
全	quan	25876
按	an	25812
国内	guo nei	25779
决定	jue ding	25683
人家	ren jia	25556
相关	xiang guan	25428
区	qu	25334
完全	wan quan	25334
早	zao	25302
拉	la	25270
单位	dan wei	25176
组织	zu zhi	25176
有人	you ren	25051
还要	hai yao	24989
测试	ce shi	24989
业务	ye wu	24958
后来	hou lai	24926
正在	zheng zai	24926
任何	ren he	24926
偶	ou	24864
本	ben	24833
专业	zhuan ye	24772
页	ye	24679
进	jin	24648
之间	zhi jian	24556
性	xing	24434
每天	mei tian	24404
弄	nong	24374
第	di	24313
除了	chu le	24283
建议	jian yi	24252
论坛	lun tan	24162
投资	tou zi	24132
完	wan	24072
具有	ju you	24042
同	tong	24012
空间	kong jian	23982
计划	ji hua	23982
系	xi	23892
花	hua	23744
不行	bu xing	23714
原因	yuan yin	23567
开发	kai fa	23508
建立	jian li	23362
名字	ming zi	23304
回家	hui jia	23246
参加	can jia	23246
人员	ren yuan	23159
全部	quan bu	23131
回去	hui qu	23044
睡觉	shui jiao	23044
建设	jian she	23016
显示	xian shi	22987
甚至	shen zhi	22901
找到	zhao dao	22844
最好	zui hao	22844
我国	wo guo	22844
怕	pa	22787
获得	huo de	22787
女	nv	22702
到了	dao le	22702
部门	bu men	22646
这次	zhe ci	22646
人们	ren men	22618
讲	jiang	22589
标准	biao zhun	22561
经济	jing ji	22505
杀	sha	22449
组	zu	22421
控制	kong zhi	22393
网上	wang shang	22365
程序	cheng xu	22310
简单	jian dan	22254
让我	rang wo	22143
干	gan	22116
一切	yi qie	22116
错	cuo	22088
本来	ben lai	22006
效果	xiao guo	22006
些	xie	21951
住	zhu	21924
上班	shang ban	21869
跑	pao	21815
名	ming	21788
哪个	na ge	21733
城市	cheng shi	21733
真是	zhen shi	21679
电影	dian ying	21545
好了	hao le	21545
也许	ye xu	21545
达到	da dao	21518
具体	ju ti	21384
速度	su du	21384
负责	fu ze	21357
次	ci	21278
环境	huan jing	21251
睡	shui	21225
网	wang	21198
经常	jing chang	21172
小时	xiao shi	21172
银行	yin hang	21172
办法	ban fa	21119
消息	xiao xi	21040
提出	ti chu	21014
生产	sheng chan	21014
申请	shen qing	20988
装	zhuang	20962
大学	da xue	20962
看来	kan lai	20962
说话	shuo hua	20962
因此	yin ci	20936
我是	wo shi	20858
挺	ting	20754
来说	lai shuo	20754
你好	ni hao	20728
相信	xiang xin	20728
许多	xu duo	20728
说明	shuo ming	20702
掉	diao	20677
作用	zuo yong	20651
王	wang	20625
安全	an quan	20599
各种	ge zhong	20574
终于	zhong yu	20574
图	tu	20548
真正	zhen zheng	20548
正	zheng	20523
记得	ji de	20497
路	lu	20471
外	wai	20471
全国	quan guo	20471
正常	zheng chang	20446
调整	tiao zheng	20420
领导	ling dao	20395
操作	cao zuo	20395
没事	mei shi	20370
资料	zi liao	20370
采用	cai yong	20370
二	er	20319
下来	xia lai	20319
努力	nu li	20294
另外	ling wai	20294
生	sheng	20268
修改	xiu gai	20268
头	tou	20243
应	ying	20243
国际	guo ji	20243
行业	hang ye	20243
有关	you guan	20243
图片	tu pian	20218
接受	jie shou	20218
以上	yi shang	20218
心	xin	20168
容易	rong yi	20142
才能	cai neng	20142
有没有	you mei you	20142
设置	she zhi	20067
妈妈	ma ma	20017
明白	ming bai	19968
产生	chan sheng	19968
以为	yi wei	19968
因	yin	19893
上面	shang mian	19794
子	zi	19769
历史	li shi	19769
合作	he zuo	19647
目标	mu biao	19598
代表	dai biao	19525
需求	xu qiu	19500
我也	wo ye	19500
总是	zong shi	19476
这一	zhe yi	19452
强	qiang	19428
第一	di yi	19403
安装	an zhuang	19379
作	zuo	19307
那样	na yang	19307
广告	guang gao	19307
按照	an zhao	19307
类	lei	19235
股票	gu piao	19235
送	song	19211
也有	ye you	19187
也不	ye bu	19139
每	mei	19115
文化	wen hua	19115
不断	bu duan	19068
书	shu	19044
确定	que ding	19020
服务器	fu wu qi	18997
好好	hao hao	18973
销售	xiao shou	18926
麻烦	ma fan	18902
左右	zuo you	18902
中心	zhong xin	18879
应用	ying yong	18808
表现	biao xian	18785
经验	jing yan	18761
如此	ru ci	18761
不少	bu shao	18691
根本	gen ben	18691
关注	guan zhu	18622
经过	jing guo	18598
文章	wen zhang	18598
差不多	cha bu duo	18575
乖	guai	18529
法	fa	18506
地址	di zhi	18483
条件	tiao jian	18437
比如	bi ru	18414
都有	dou you	18391
确实	que shi	18345
拍	pai	18299
形成	xing cheng	18299
整个	zheng ge	18299
帮助	bang zhu	18231
家里	jia li	18208
精神	jing shen	18163
身体	shen ti	18163
表	biao	18141
水平	shui ping	18118
资源	zi yuan	18118
市	shi	18050
马上	ma shang	18050
撒	sa	18028
似乎	si hu	17983
休息	xiu xi	17938
香港	xiang gang	17916
突然	tu ran	17871
刚刚	gang gang	17849
是个	shi ge	17849
一天	yi tian	17849
明显	ming xian	17805
至	zhi	17782
收到	shou dao	17782
接	jie	17760
并且	bing qie	17738
教育	jiao yu	17716
行为	xing wei	17716
美	mei	17650
带来	dai lai	17650
要是	yao shi	17628
造成	zao cheng	17606
未	wei	17562
清楚	qing chu	17540
上的	shang de	17540
办	ban	17518
非	fei	17475
房子	fang zi	17475
深圳	shen zhen	17475
哎	ai	17453
利用	li yong	17431
就会	jiu hui	17431
大概	da gai	17410
重新	chong xin	17410
级	ji	17388
安排	an pai	17388
即	ji	17366
理解	li jie	17345
资金	zi jin	17280
不到	bu dao	17258
此	ci	17237
变化	bian hua	17215
先生	xian sheng	17215
推荐	tui jian	17173
拥有	yong you	17173
博客	bo ke	17151
状态	zhuang tai	17109
版	ban	17087
保证	bao zheng	17087
副	fu	17045
美女	mei nv	17045
难道	nan dao	17045
干嘛	gan ma	17002
差	cha	16939
俺	an	16897
品牌	pin pai	16876
打开	da kai	16876
改变	gai bian	16876
收	shou	16855
不想	bu xiang	16834
男	nan	16792
了	liao	16750
字	zi	16750
有个	you ge	16750
比赛	bi sai	16729
保持	bao chi	16708
超过	chao guo	16708
股	gu	16667
地区	di qu	16667
广州	guang zhou	16646
下面	xia mian	16646
几	ji	16625
楼主	lou zhu	16625
考	kao	16604
工程	gong cheng	16604
两	liang	16584
转	zhuan	16584
视频	shi pin	16584
位置	wei zhi	16584
块	kuai	16563
回答	hui da	16563
看见	kan jian	16522
自然	zi ran	16522
方便	fang bian	16501
快乐	kuai le	16481
还在	hai zai	16481
规定	gui ding	16419
分钟	fen zhong	16399
心里	xin li	16399
声音	sheng yin	16399
幸福	xing fu	16358
音乐	yin yue	16358
线	xian	16338
设备	she bei	16338
周	zhou	16297
媒体	mei ti	16256
那是	na shi	16256
漂亮	piao liang	16216
手	shou	16196
老板	lao ban	16196
更新	geng xin	16196
基金	ji jin	16176
实在	shi zai	16176
道	dao	16155
黄	huang	16135
便	bian	16095
慢慢	man man	16075
密码	mi ma	16075
第一次	di yi ci	16075
导致	dao zhi	16035
米	mi	15995
很好	hen hao	15995
聊	liao	15975
讨论	tao lun	15975
猪	zhu	15935
版本	ban ben	15935
上网	shang wang	15935
至少	zhi shao	15916
通知	tong zhi	15896
基础	ji chu	15896
取	qu	15876
以下	yi xia	15856
结婚	jie hun	15836
结束	jie shu	15836
哇	wa	15817
未来	wei lai	15797
低	di	15738
每个	mei ge	15679
我想	wo xiang	15660
难	nan	15640
还没	hai mei	15621
检查	jian cha	15621
哦	o	15582
治疗	zhi liao	15582
曾经	ceng jing	15582
随便	sui bian	15582
离开	li kai	15543
医院	yi yuan	15543
集团	ji tuan	15524
上次	shang ci	15524
发表	fa biao	15504
相当	xiang dang	15504
严重	yan zhong	15504
儿	er	15408
怎么样	zen me yang	15408
包	bao	15389
受	shou	15389
阿	a	15389
不仅	bu jin	15370
衣服	yi fu	15351
属于	shu yu	15332
实际	shi ji	15312
喝	he	15293
购买	gou mai	15293
政策	zheng ce	15274
白	bai	15236
注册	zhu ce	15236
更加	geng jia	15198
金	jin	15142
居然	ju ran	15142
这边	zhe bian	15142
报告	bao gao	15104
加强	jia qiang	15104
有效	you xiao	15104
保护	bao hu	15066
并不	bing bu	15048
目的	mu di	15048
管	guan	15029
近	jin	15029
四	si	15010
记录	ji lu	15010
我就	wo jiu	15010
质量	zhi liang	14991
坚持	jian chi	14954
新的	xin de	14954
定	ding	14898
而已	er yi	14806
够	gou	14732
机器	ji qi	14732
郁闷	yu men	14732
门	men	14714
交	jiao	14714
宝宝	bao bao	14714
模式	mo shi	14714
实施	shi shi	14714
好多	hao duo	14695
是啊	shi a	14695
样	yang	14677
便宜	pian yi	14659
让人	rang ren	14659
怎样	zen yang	14659
关键	guan jian	14622
后面	hou mian	14622
培训	pei xun	14586
故事	gu shi	14550
意见	yi jian	14532
李	li	14513
笑	xiao	14513
传	chuan	14495
都会	dou hui	14477
爱情	ai qing	14477
看了	kan le	14441
自	zi	14405
台湾	tai wan	14405
发布	fa bu	14387
每次	mei ci	14370
方案	fang an	14370
边	bian	14352
慢	man	14352
大量	da liang	14352
黑	hei	14316
刷	shua	14316
同样	tong yang	14316
型	xing	14298
到底	dao di	14298
老公	lao gong	14280
永远	yong yuan	14280
受到	shou dao	14262
穿	chuan	14227
看着	kan zhe	14227
绝对	jue dui	14227
来了	lai le	14174
越	yue	14156
感情	gan qing	14121
于是	yu shi	14121
太多	tai duo	14103
愿意	yuan yi	14068
对方	dui fang	14051
位	wei	14033
随着	sui zhe	14033
压力	ya li	14033
网友	wang you	14016
机构	ji gou	13998
贵	gui	13963
不管	bu guan	13963
考试	kao shi	13946
交流	jiao liu	13929
长	chang	13911
毕业	bi ye	13911
之一	zhi yi	13911
免费	mian fei	13894
价值	jia zhi	13894
部	bu	13825
一年	yi nian	13825
配置	pei zhi	13808
平台	ping tai	13808
成本	cheng ben	13808
得	dei	13791
几乎	ji hu	13791
生命	sheng ming	13791
据	ju	13756
制度	zhi du	13756
首先	shou xian	13756
牛	niu	13739
怪	guai	13739
变成	bian cheng	13739
处	chu	13722
她们	ta men	13722
选	xuan	13705
打算	da suan	13705
升级	sheng ji	13705
一家	yi jia	13688
稳定	wen ding	13688
工资	gong zi	13671
站	zhan	13654
帖子	tie zi	13654
那就	na jiu	13637
专家	zhuan jia	13637
倒	dao	13603
即使	ji shi	13603
省	sheng	13586
现场	xian chang	13586
重点	zhong dian	13586
交易	jiao yi	13552
错误	cuo wu	13552
谈	tan	13518
称	cheng	13485
材料	cai liao	13485
参与	can yu	13485
台	tai	13451
群	qun	13451
调查	diao cha	13434
同事	tong shi	13434
传统	chuan tong	13434
她的	ta de	13401
费用	fei yong	13384
结构	jie gou	13384
厉害	li hai	13368
而是	er shi	13368
汗	han	13318
尤其	you qi	13318
累	lei	13301
作品	zuo pin	13301
经	jing	13284
第二	di er	13284
天天	tian tian	13284
样子	yang zi	13284
父母	fu mu	13268
确认	que ren	13268
象	xiang	13251
查	cha	13251
加入	jia ru	13251
变	bian	13218
眼睛	yan jing	13218
引起	yin qi	13202
半	ban	13186
更多	geng duo	13186
心情	xin qing	13169
身上	shen shang	13169
数	shu	13153
家庭	jia ting	13153
最终	zui zhong	13136
面对	mian dui	13120
分别	fen bie	13104
一位	yi wei	13104
它们	ta men	13087
来自	lai zi	13071
习惯	xi guan	13071
格	ge	13038
不够	bu gou	13038
面	mian	13022
范围	fan wei	13022
推出	tui chu	13022
知识	zhi shi	13022
事件	shi jian	13022
你是	ni shi	13006
去年	qu nian	13006
新闻	xin wen	13006
自动	zi dong	13006
红	hong	12941
陈	chen	12941
垃圾	la ji	12941
早上	zao shang	12909
意义	yi yi	12893
还好	hai hao	12877
五	wu	12861
积极	ji ji	12845
适合	shi he	12829
全面	quan mian	12781
执行	zhi xing	12781
方	fang	12765
人生	ren sheng	12765
正式	zheng shi	12749
进一步	jin yi bu	12749
顶	ding	12733
楼	lou	12718
读	du	12702
满足	man zu	12702
运行	yun xing	12670
收入	shou ru	12639
某	mou	12623
不知	bu zhi	12607
十分	shi fen	12607
聊天	liao tian	12591
乱	luan	12576
代码	dai ma	12576
遇到	yu dao	12576
其它	qi ta	12560
等等	deng deng	12544
优势	you shi	12544
哈哈哈	ha ha ha	12529
取得	qu de	12513
去了	qu le	12513
马	ma	12498
条	tiao	12498
远	yuan	12498
海	hai	12451
方向	fang xiang	12420
及时	ji shi	12420
单	dan	12374
相	xiang	12374
不乖	bu guai	12358
不再	bu zai	12343
光	guang	12327
邮件	you jian	12312
姐姐	jie jie	12297
系列	xi lie	12297
热	re	12281
普通	pu tong	12266
解释	jie shi	12266
经历	jing li	12266
再次	zai ci	12266
您的	nin de	12251
风险	feng xian	12236
领域	ling yu	12236
会议	hui yi	12236
统一	tong yi	12220
全球	quan qiu	12205
形式	xing shi	12205
思想	si xiang	12205
无论	wu lun	12205
农民	nong min	12190
几天	ji tian	12190
员工	yuan gong	12190
且	qie	12175
种	zhong	12160
咋	za	12160
挂	gua	12144
短信	duan xin	12144
风	feng	12099
进去	jin qu	12099
林	lin	12069
增长	zeng zhang	12069
本人	ben ren	12054
现实	xian shi	12054
满	man	12039
额	e	12039
所谓	suo wei	12024
不然	bu ran	11994
谁	shei	11979
法律	fa lv	11964
开心	kai xin	11934
就要	jiu yao	11920
移动	yi dong	11905
域名	yu ming	11890
化	hua	11875
农村	nong cun	11875
开展	kai zhan	11875
合同	he tong	11875
时代	shi dai	11875
班	ban	11860
同意	tong yi	11860
工具	gong ju	11860
汽车	qi che	11845
想到	xiang dao	11845
女孩	nv hai	11831
中午	zhong wu	11831
滴	di	11816
想法	xiang fa	11816
自由	zi you	11801
电视	dian shi	11787
儿子	er zi	11787
涨	zhang	11728
欢迎	huan ying	11728
文字	wen zi	11728
无聊	wu liao	11684
一会	yi hui	11670
担心	dan xin	11641
听说	ting shuo	11626
店	dian	11612
关	guan	11612
机	ji	11612
安	an	11597
共同	gong tong	11597
现象	xian xiang	11597
坐	zuo	11583
下去	xia qu	11583
事实	shi shi	11583
理论	li lun	11568
人民	ren min	11554
三个	san ge	11554
一张	yi zhang	11539
俄	e	11525
前面	qian mian	11511
的事	de shi	11482
减少	jian shao	11482
飞	fei	11468
度	du	11468
约	yue	11468
宣传	xuan chuan	11468
刘	liu	11439
链接	lian jie	11439
竟然	jing ran	11439
感到	gan dao	11425
力量	li liang	11411
消费者	xiao fei zhe	11411
歌	ge	11397
马甲	ma jia	11397
阶段	jie duan	11368
办公室	ban gong shi	11368
回复	hui fu	11354
健康	jian kang	11354
语言	yu yan	11354
放在	fang zai	11326
会有	hui you	11326
是在	shi zai	11326
报	bao	11312
信	xin	11312
页面	ye mian	11312
也就	ye jiu	11312
证明	zheng ming	11284
对象	dui xiang	11269
医生	yi sheng	11269
针对	zhen dui	11241
周末	zhou mo	11241
若	ruo	11227
要不	yao bu	11227
原	yuan	11213
仍然	reng ran	11213
饭	fan	11199
数量	shu liang	11199
晚	wan	11186
文	wen	11186
运动	yun dong	11186
报道	bao dao	11172
都在	dou zai	11172
让你	rang ni	11172
我在	wo zai	11172
失败	shi bai	11144
貌似	mao si	11130
量	liang	11116
村	cun	11088
旅游	lv you	11088
相对	xiang dui	11088
式	shi	11075
毕竟	bi jing	11047
号码	hao ma	11047
下次	xia ci	11047
责任	ze ren	11033
期间	qi jian	11019
没什么	mei shen me	11019
一条	yi tiao	11006
空	kong	10992
毛	mao	10978
不敢	bu gan	10978
恢复	hui fu	10978
长期	chang qi	10978
促进	cu jin	10978
算了	suan le	10978
不如	bu ru	10965
删除	shan chu	10965
山	shan	10951
心理	xin li	10937
忘记	wang ji	10937
输入	shu ru	10924
试试	shi shi	10897
再说	zai shuo	10897
制作	zhi zuo	10869
可惜	ke xi	10856
另	ling	10842
主	zhu	10842
享受	xiang shou	10815
经营	jing ying	10802
下班	xia ban	10802
成了	cheng le	10802
都要	dou yao	10775
伐	fa	10721
很快	hen kuai	10721
结合	jie he	10721
维护	wei hu	10721
身边	shen bian	10708
最大	zui da	10708
作者	zuo zhe	10681
间	jian	10668
否则	fou ze	10668
南京	nan jing	10668
股市	gu shi	10668
母亲	mu qin	10642
登录	deng lu	10628
尽管	jin guan	10615
也会	ye hui	10615
本身	ben shen	10602
加上	jia shang	10602
最新	zui xin	10602
搜索	sou suo	10602
外面	wai mian	10602
问问	wen wen	10602
有限公司	you xian gong si	10602
入	ru	10589
听到	ting dao	10589
可爱	ke ai	10575
贴	tie	10562
占	zhan	10562
平时	ping shi	10562
利益	li yi	10562
很大	hen da	10549
做好	zuo hao	10549
盘	pan	10536
爽	shuang	10536
科技	ke ji	10536
查询	cha xun	10536
内部	nei bu	10523
英语	ying yu	10523
认真	ren zhen	10510
也要	ye yao	10510
宝贝	bao bei	10497
哥哥	ge ge	10497
完善	wan shan	10497
杭州	hang zhou	10484
很难	hen nan	10484
计算	ji suan	10484
访问	fang wen	10445
父亲	fu qin	10445
赚	zhuan	10432
往	wang	10406
我要	wo yao	10393
队	dui	10367
就像	jiu xiang	10367
因素	yin su	10367
上午	shang wu	10354
明确	ming que	10341
杨	yang	10328
真实	zhen shi	10328
反映	fan ying	10315
符合	fu he	10315
感受	gan shou	10315
美丽	mei li	10302
越来越	yue lai yue	10289
片	pian	10277
日子	ri zi	10277
一边	yi bian	10277
启动	qi dong	10251
兴趣	xing qu	10238
数据库	shu ju ku	10238
感谢	gan xie	10226
打电话	da dian hua	10226
都不	dou bu	10213
狗	gou	10200
国外	guo wai	10200
往往	wang wang	10200
特点	te dian	10187
我不	wo bu	10187
必要	bi yao	10162
放弃	fang qi	10162
社区	she qu	10149
熟悉	shu xi	10149
专门	zhuan men	10137
计算机	ji suan ji	10137
政治	zheng zhi	10124
费	fei	10112
国	guo	10112
坏	huai	10112
一份	yi fen	10112
电子	dian zi	10099
复杂	fu za	10086
会员	hui yuan	10086
岁	sui	10074
妹妹	mei mei	10074
区域	qu yu	10061
星期	xing qi	10061
程度	cheng du	10061
依然	yi ran	10061
血	xue	10049
整体	zheng ti	10036
唯一	wei yi	9999
集中	ji zhong	9986
投入	tou ru	9974
对了	dui le	9961
类型	lei xing	9961
限制	xian zhi	9961
离	li	9937
西	xi	9937
帮我	bang wo	9937
统计	tong ji	9937
韩国	han guo	9937
正确	zheng que	9937
龙	long	9924
共	gong	9924
做了	zuo le	9924
咱们	zan men	9900
明	ming	9887
关心	guan xin	9887
上市	shang shi	9887
妈	ma	9875
超	chao	9875
采取	cai qu	9863
规划	gui hua	9850
装备	zhuang bei	9838
均	jun	9826
爸爸	ba ba	9814
年轻	nian qing	9814
在线	zai xian	9814
很少	hen shao	9789
不得	bu de	9777
良好	liang hao	9753
沟通	gou tong	9740
暂时	zan shi	9740
别的	bie de	9728
期	qi	9716
切	qie	9716
成绩	cheng ji	9716
照	zhao	9704
帮忙	bang mang	9704
达	da	9692
双方	shuang fang	9692
最高	zui gao	9692
附近	fu jin	9680
类似	lei si	9680
小心	xiao xin	9680
数字	shu zi	9680
买了	mai le	9668
点击	dian ji	9668
来看	lai kan	9668
各位	ge wei	9668
女儿	nv er	9656
失去	shi qu	9656
人类	ren lei	9656
举行	ju xing	9620
人物	ren wu	9620
是一种	shi yi zhong	9620
提升	ti sheng	9608
科学	ke xue	9608
成都	cheng du	9608
留	liu	9584
巨大	ju da	9584
态度	tai du	9572
